# Пример калибровочной таблицы для JXCT датчика
# Формат: сырое_значение,коэффициент_коррекции
# Этот файл содержит коэффициенты коррекции, полученные при поверке датчика в лаборатории
# Коэффициент применяется как: скорректированное_значение = сырое_значение * коэффициент

# Температура (°C) - обычно не требует коррекции
0,1.000
10,1.000
20,1.000
25,1.000
30,1.000
40,1.000

# Влажность (%) - обычно не требует коррекции  
0,1.000
25,1.000
50,1.000
75,1.000
100,1.000

# Электропроводность (µS/cm) - может требовать коррекции
0,1.000
500,0.98
1000,0.95
1500,0.93
2000,0.91
3000,0.89
5000,0.87

# pH - может требовать коррекции
3.0,1.000
4.0,1.000
5.0,1.000
6.0,1.000
7.0,1.000
8.0,1.000
9.0,1.000

# Азот (мг/кг) - может требовать коррекции
0,1.000
100,0.95
200,0.92
500,0.89
1000,0.87
1500,0.85

# Фосфор (мг/кг) - может требовать коррекции
0,1.000
50,0.96
100,0.93
200,0.90
500,0.88
1000,0.86

# Калий (мг/кг) - может требовать коррекции
0,1.000
100,0.94
200,0.91
500,0.88
1000,0.86
1500,0.84 
