# Пример калибровочной таблицы для суглинка (Loam)
# -------------------------------------------------
# Назначение:
#   Сопоставить СЫРЫЕ (RAW) показания EC датчика JXCT 7-в-1 с   
#   эталонными (COMPENSATED) значениями, полученными лабораторным   
#   анализом почвы того же образца.
#   Таблица будет загружена через веб-интерфейс «Калибровка» и     
#   использована для линейной интерполяции по алгоритму:           
#       corr = lerp(raw1, raw2, corr1, corr2, raw)                
#   где raw находится внутри диапазона [raw1; raw2].               
#   Значения вне диапазона экстаполируются последним сегментом.    
#
# Формат и единицы:                                                
#   RAW,COMPENSATED                                                
#   RAW           – сырое значение EC, µS/cm (как читает датчик)   
#   COMPENSATED   – эталонное EC при 25 °C, µS/cm                 
#
# Требования:                                                      
#   • CSV в кодировке UTF-8                                         
#   • Десятичный разделитель – точка                               
#   • Первая непустая строка таблицы должна быть «RAW,COMPENSATED» 
#   • Комментарии начинаются с «#» и игнорируются прошивкой         
#   • Минимум 2 точки, максимум 256                                  
#   • Значения должны быть отсортированы по возрастанию RAW        
#
# Как получить лабораторные данные:                                
#   1. Отберите не менее 5 смешанных проб почвы глубиной 15-20 см.  
#   2. Высушите до воздушно-сухого состояния, просейте через 2 мм.  
#   3. Измерьте EC раствора (1:5) при 25 °C в агролаборатории.      
#   4. Одновременно выполните замер датчиком JXCT той же партии.    
#   5. Заполните таблицу парами RAW/COMPENSATED.                    
#
# Пример:                                                          
#   RAW,COMPENSATED                                                
#   900,  915                                                     
#   1000,1015                                                     
#   … и т.д.                                                       
# -------------------------------------------------
RAW,COMPENSATED
900,915
1000,1015
1100,1115
1200,1225
1300,1335
1400,1445
1500,1550
1600,1655
1700,1760
1800,1860 
