Name,Image path,Order Type,Register address (starting address),Number of registers,Decimal digits,Unit,Baud rate (standby),Data name,High and low byte,15
Temperature and humidity,Drivers\485Image\Non gas\485TH.jpg,3:03,0:01,1:01,1:01,%RH:¡æ,9600,H:T,1:01
Soil temperature and humidity1,Drivers\485Image\Non gas\485CTH.jpg,3:03,2:03,1:01,1:01,%RH:¡æ,9600,soil H:soil T,1:01
Soil temperature and humidity2,Drivers\485Image\Non gas\485CTH.jpg,3:03,18:19,1:01,1:01,%RH:¡æ,9600,soil H:soil T,1:01
Soil Trinity,Drivers\485Image\Non gas\485ECTH.jpg,3:03:03,18:19:21,1:01:01,1:01:00,%RH:¡æ:us/cm,9600,soil H:soil T:soil EC,1:01:01
Illumination,Drivers\485Image\Non gas\485LUX.jpg,3,7:08,2,0,Lux,9600,hv,2
pm2.5/pm10,Drivers\485Image\Non gas\485pm.jpg,3:03,4:09,1:01,0:00,ug/m3:ug/m3,9600,pm2.5:pm10,1:01
Noise,Drivers\485Image\Non gas\485TN.jpg,3,12,1,1,dB,9600,Noise,1
atmospheric pressure,Drivers\485Image\Non gas\485APS.jpg,3,10:11,2,2,mbar,9600,AT,2
Ultraviolet rays,Drivers\485Image\Non gas\485UV.jpg,3,8,1,1,W/m2,9600,UV,1
Soil PH,Drivers\485Image\Non gas\485PH.jpg,3,6,1,1,PH,9600,Soil PH,1
Soil nitrogen,Drivers\485Image\Non gas\485N.jpg,3,20,1,0,mg/kg,9600,N,1
Soil phosphorus,Drivers\485Image\Non gas\485P.jpg,3,20,1,0,mg/kg,9600,P,1
Soil potassium,Drivers\485Image\Non gas\485K.jpg,3,20,1,0,mg/kg,9600,K,1
Soil nitrogen and phosphorus and potassium in one,Drivers\485Image\Non gas\485NPK.jpg,3:03:03,30:31:32,1:01:01,0:00:00,mg/kg:mg/kg:mg/kg,9600,N:P:K,1:01:01
rainfall,Drivers\485Image\Non gas\485RS.jpg,3,261,1,1,mm,9600,rainfall,1
Water immersion,Drivers\485Image\Non gas\485AAWDS.jpg,3,16,1,0,;,9600,Water immersion,1
Rain and snow,Drivers\485Image\Non gas\485RSS.jpg,3,16,1,0,;,9600,Rain and snow,1
Total solar radiation,Drivers\485Image\Non gas\485STR.jpg,3,256,1,0,W/m2,9600,total?insolation,1
Photosynthetic active radiation,Drivers\485Image\Non gas\485PARS.jpg,3,256,1,0,W/m2,9600,PAR,1
Carbon gathering velocity,Drivers\485Image\Non gas\485PWS.jpg,3,0,1,1,m/s,9600,WS,1
Carbon wind direction,Drivers\485Image\Non gas\485PWD.jpg,3,0,1,0,¡ã,9600,WDIR,1
Wind Speed of Aluminum Alloy,Drivers\485Image\Non gas\485AAWS.jpg,3,22,1,1,m/s,9600,WS,1
Wind Direction of Aluminum Alloy,Drivers\485Image\Non gas\485AAWD.jpg,3,23,1,0,¡ã,9600,WDIR,1
NH3,Drivers\485Image\Gases\485NH3.jpg,3,6,1,2,ppm,9600,NH3,1
CO2,Drivers\485Image\Gases\485CO2.jpg,3,5,1,0,ppm,9600,CO2,1
O2,Drivers\485Image\Gases\485O2.jpg,3,6,1,1,%,9600,O2,1
O3£¨Low range£©,Drivers\485Image\Gases\485O3.jpg,3,6,1,2,ppm,9600,O3,1
O3£¨High range£©,Drivers\485Image\Gases\485O3.jpg,3,6,1,1,ppm,9600,O3,1
NO2,Drivers\485Image\Gases\485NO2.jpg,3,6,1,2,ppm,9600,NO2,1
