# Пример калибровочной таблицы для суглинка (Loam)
# -------------------------------------------------
# Назначение:
#   Сопоставить СЫРЫЕ (RAW) показания EC датчика JXCT 7-в-1 с   
#   эталонными (COMPENSATED) значениями, полученными лабораторным   
#   анализом почвы того же образца.
#   Таблица будет загружена через веб-интерфейс «Калибровка» и     
#   использована для линейной интерполяции по алгоритму:           
#       corr = lerp(raw1, raw2, corr1, corr2, raw)                
#   где raw находится внутри диапазона [raw1; raw2].               
#   Значения вне диапазона экстаполируются последним сегментом.    
#
# Формат и единицы:                                                
#   RAW,COMPENSATED                                                
#   RAW           – сырое значение EC, µS/cm (как читает датчик)   
#   COMPENSATED   – эталонное EC при 25 °C, µS/cm                 
#
# Требования:                                                      
#   • CSV в кодировке UTF-8                                         
#   • Десятичный разделитель – точка                               
#   • Первая непустая строка таблицы должна быть «RAW,COMPENSATED» 
#   • Комментарии начинаются с «#» и игнорируются прошивкой         
#   • Минимум 2 точки, максимум 256                                  
#   • Значения должны быть отсортированы по возрастанию RAW        
#
# Как получить лабораторные данные:                                
#   1. Отберите не менее 5 смешанных проб почвы глубиной 15-20 см.  
#   2. Высушите до воздушно-сухого состояния, просейте через 2 мм.  
#   3. Измерьте EC раствора (1:5) при 25 °C в агролаборатории.      
#   4. Одновременно выполните замер датчиком JXCT той же партии.    
#   5. Заполните таблицу парами RAW/COMPENSATED.                    
#
# Пример:                                                          
#   RAW,COMPENSATED                                                
#   900,  915                                                     
#   1000,1015                                                     
#   … и т.д.                                                       
# -------------------------------------------------
RAW,COMPENSATED
200,210
300,315
400,420
500,525
600,630
700,735
800,840
900,945
1000,1050
1200,1260
1500,1575
1800,1890
2000,2100 
